epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,489.035,3.76909,3.73231,1.25271,0.01231,0.01981,0.00629,0.00239,2.99204,3.57913,0.92273,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032,0.00096,0.00032
2,1130.4,3.29826,3.59814,1.09395,0.0375,0.06032,0.02001,0.00718,3.06085,3.5008,0.86229,0.0019408,0.000646932,0.0019408,0.000646932,0.0019408,0.000646932,0.0019408,0.000646932
3,1645.45,3.26023,3.40689,0.9923,0.05852,0.09413,0.03257,0.01225,3.05833,3.40532,0.83765,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
4,3332.17,3.05983,3.09695,0.95092,0.07787,0.12526,0.04493,0.01699,2.93827,3.22648,0.83407,0.00378121,0.0012604,0.00378121,0.0012604,0.00378121,0.0012604,0.00378121,0.0012604
5,289.118,3.0757,2.67403,0.92284,0.17917,0.2882,0.16975,0.07479,2.90283,2.76706,0.85,0.00464083,0.00154694,0.00464083,0.00154694,0.00464083,0.00154694,0.00464083,0.00154694
6,630.577,2.97966,2.28146,0.9111,0.22648,0.36431,0.29914,0.11527,2.99797,2.09113,0.8642,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,340.056,3.11326,1.91652,0.89103,0.49787,0.36226,0.36297,0.13684,2.98653,1.46681,0.85119,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,850.404,3.02277,1.69323,0.88155,0.49548,0.36495,0.36754,0.13917,2.9558,1.66151,0.84603,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,1245.95,3.1398,1.57431,0.85376,0.53266,0.39384,0.40486,0.15636,2.85817,1.74854,0.83383,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,215.321,3.11129,1.50926,0.85048,0.54883,0.42759,0.44004,0.1751,2.76371,1.68973,0.82744,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,580.561,3.0123,1.41514,0.85389,0.53685,0.41778,0.4287,0.17539,2.7305,1.4797,0.82342,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,870.431,3.08932,1.34606,0.83024,0.5482,0.42344,0.43986,0.18242,2.69584,1.3262,0.81985,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,2191.44,3.01373,1.31404,0.83937,0.53362,0.44161,0.44708,0.18796,2.66686,1.2355,0.81641,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,8080.92,3.06708,1.29224,0.8227,0.54312,0.44906,0.46069,0.19633,2.64501,1.17068,0.81348,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,19824.6,3.013,1.25978,0.82046,0.54814,0.46633,0.47632,0.20486,2.61833,1.14409,0.8104,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,342.881,2.98178,1.23427,0.81739,0.57132,0.46589,0.48979,0.21622,2.59626,1.11369,0.80701,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,745.959,2.83463,1.18657,0.82507,0.59451,0.4695,0.50325,0.2263,2.55221,1.0897,0.80159,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,1924.61,2.93413,1.16939,0.80131,0.61559,0.47855,0.51812,0.23549,2.508,1.06809,0.79609,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,2168.69,2.85177,1.1628,0.81157,0.61896,0.48898,0.52515,0.23872,2.49349,1.04721,0.79276,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,2460.84,2.90239,1.15281,0.79657,0.6297,0.50529,0.53946,0.24259,2.47129,1.02553,0.78934,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,2780.88,2.87178,1.15382,0.79792,0.6258,0.51623,0.5425,0.24356,2.45201,1.02877,0.7878,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,3131.18,2.86863,1.13444,0.79399,0.6268,0.514,0.54423,0.2469,2.43724,1.02396,0.78634,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,3496.77,2.79202,1.12348,0.79954,0.62462,0.48183,0.52076,0.23759,2.43116,1.01596,0.78436,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
